#Rad    Vobs    errV    Vgas    Vdisk   Vbul    SBdisk  SBbul
0.10    10.5    1.0     1.0     0.0     0.0     0.0     0.0
0.30    12.2    1.2     1.5     0.0     0.0     0.0     0.0
0.50    15.0    1.5     2.0     0.0     0.0     0.0     0.0
0.70    18.1    1.3     2.2     0.0     0.0     0.0     0.0
0.90    21.5    1.6     2.5     0.0     0.0     0.0     0.0
1.10    25.0    1.5     2.8     0.0     0.0     0.0     0.0
1.50    30.2    1.8     3.0     0.0     0.0     0.0     0.0
2.00    35.5    2.0     3.5     0.0     0.0     0.0     0.0
2.50    38.0    1.9     3.8     0.0     0.0     0.0     0.0
3.00    41.5    2.1     4.0     0.0     0.0     0.0     0.0
3.50    43.0    2.0     4.2     0.0     0.0     0.0     0.0
4.00    45.5    2.2     4.5     0.0     0.0     0.0     0.0
4.50    46.2    2.5     4.8     0.0     0.0     0.0     0.0
5.00    47.0    2.3     5.0     0.0     0.0     0.0     0.0
6.00    48.5    2.6     5.5     0.0     0.0     0.0     0.0
7.00    49.0    2.5     6.0     0.0     0.0     0.0     0.0
8.00    49.5    2.8     6.5     0.0     0.0     0.0     0.0
